unit_numeric_code,start_date,end_date,is_in_union,age_range,data_series_type,group_type_relative_to_baseline,contraceptive_use_modern,contraceptive_use_traditional,contraceptive_use_any,unmet_need_modern,unmet_need_any,is_pertaining_to_methods_used_since_last_pregnancy,pertaining_to_methods_used_since_last_pregnancy_reason,has_geographical_region_bias,geographical_region_bias_reason,has_non_pregnant_and_other_positive_biases,non_pregnant_and_other_positive_biases_reason,age_group_bias,modern_method_bias,has_traditional_method_bias,traditional_method_bias_reason,has_absence_of_probing_questions_bias,se_modern,se_traditional,se_unmet_need,se_log_r_modern_no_use,se_log_r_traditional_no_use,se_log_r_unmet_no_need,source_id,record_id,region_code
854,2014.833,2015,Y,15-49,PMA,MW,0.1406,0,0.1406,,0.2975,N,,N,,N,,None,None,N,,N,,,,,,,,,Cascades
854,2014.833,2015,Y,15-49,PMA,MW,0.278,0.007,0.285,,0.2936,N,,N,,N,,None,None,N,,N,,,,,,,,,Centre (including Ouagadougou)
854,2014.833,2015,Y,15-49,PMA,MW,0.2012,0,0.2012,,0.355,N,,N,,N,,None,None,N,,N,,,,,,,,,Centre-Est
854,2014.833,2015,Y,15-49,PMA,MW,0.1318,0,0.1318,,0.2607,N,,N,,N,,None,None,N,,N,,,,,,,,,Centre-Nord
854,2014.833,2015,Y,15-49,PMA,MW,0.1332,0,0.1332,,0.2992,N,,N,,N,,None,None,N,,N,,,,,,,,,Centre-Ouest
854,2014.833,2015,Y,15-49,PMA,MW,0,0,0,,0,N,,N,,N,,None,None,N,,N,,,,,,,,,Centre-Sud
854,2014.833,2015,Y,15-49,PMA,MW,0.203,0,0.203,,0.5001,N,,N,,N,,None,None,N,,N,,,,,,,,,Est
854,2014.833,2015,Y,15-49,PMA,MW,0.2191,0,0.2191,,0.4706,N,,N,,N,,None,None,N,,N,,,,,,,,,Hauts Bassins
854,2014.833,2015,Y,15-49,PMA,MW,0.098,0,0.098,,0.4557,N,,N,,N,,None,None,N,,N,,,,,,,,,Nord
854,2014.833,2015,Y,15-49,PMA,MW,0,0,0,,0,N,,N,,N,,None,None,N,,N,,,,,,,,,Plateau Central
